seed,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2037,E7_ml_aura_ml_tsra_r,4.749999999999986,0.5,0.125,0.04676753782668501,12.249999999999986,3.0,0.17380043558000907,344.0,10.0,70.0,5.0,32.0
2038,E1_baseline,3.0,0.5,0.5,0.3577981651376147,33.0,0.0,0.4738990825688073,361.0,5.0,99.0,0.0,0.0
2038,E2_fixed_attack,21.0,0.5,0.5,0.5220125786163522,51.0,0.0,0.615,339.0,5.0,94.0,1.0,0.0
2038,E3_rule_aura,163.5,0.5,0.5,0.8220551378446115,193.5,0.0,0.9500000000000001,153.0,4.0,35.0,5.0,0.0
2038,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.057724957555178265,9.5,0.0,0.11094581211092246,338.0,8.0,83.0,5.0,23.0
2038,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.027607361963190184,9.5,3.0,0.14588701431492843,369.0,7.0,92.0,5.0,24.0
2038,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.02403204272363151,9.5,3.0,0.1440993546951491,377.0,9.0,99.0,5.0,25.0
2038,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.051490514905149054,9.5,3.0,0.15782859078590786,365.0,11.0,84.0,5.0,30.0
2039,E1_baseline,2.799999999999997,0.5,0.5,0.315136476426799,32.8,0.0,0.4512349048800661,318.0,4.0,65.0,0.0,0.0
2039,E2_fixed_attack,42.69999999999999,0.75,0.75,0.5922131147540983,87.69999999999999,0.0,0.7721666666666666,327.0,9.0,74.0,1.0,0.0
2039,E3_rule_aura,169.0,0.5,0.5,0.8300492610837439,199.0,0.0,0.9500000000000001,147.0,5.0,35.0,5.0,0.0
2039,E4_rule_aura_basic_defense,4.0,0.5,0.125,0.03590664272890485,11.5,0.0,0.11336998803111908,328.0,15.0,85.0,5.0,20.0
2039,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.046263345195729534,9.5,4.0,0.15521500593119808,334.0,3.0,78.0,5.0,25.0
