seed,condition,disabled_action,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2048,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.09104938271604938,32.0,3.0,0.383858024691358,333.0,15.0,64.0,5.0,14.0
2048,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.04861111111111111,9.5,0.0,0.10638888888888888,320.0,3.0,63.0,5.0,22.0
2049,full,none,tsra_ablation_full,2.0,0.5,0.125,0.02912621359223301,9.5,2.0,0.12997977346278317,353.0,6.0,71.0,5.0,25.0
2049,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,5.0,0.5,0.125,0.5117739403453689,12.5,3.0,0.35208333333333336,347.0,8.0,79.0,5.0,17.0
2049,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.02551640340218712,9.5,2.0,0.12817486836776024,376.0,3.0,87.0,5.0,17.0
2049,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.02912621359223301,32.0,2.0,0.33622977346278315,353.0,6.0,71.0,5.0,16.0
2049,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,3.0,0.5,0.125,0.09982788296041308,10.5,0.0,0.13866394148020655,331.0,5.0,75.0,5.0,19.0
2050,full,none,tsra_ablation_full,2.0,0.5,0.125,0.06847133757961783,9.5,3.0,0.16631900212314224,344.0,14.0,76.0,5.0,23.0
2050,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,5.349999999999994,0.5,0.125,0.4682170542635659,12.849999999999994,3.0,0.3544166666666666,342.0,9.0,74.0,5.0,17.0
2050,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0,0.5,0.125,0.03490136570561457,8.5,1.0,0.10953401618614061,344.0,5.0,78.0,5.0,15.0
2050,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.06847133757961783,32.0,3.0,0.37256900212314226,344.0,14.0,76.0,5.0,15.0
2050,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.07952622673434856,9.5,0.0,0.12184644670050761,341.0,4.0,76.0,5.0,19.0
